,job_title,company_name,area,city,country,job_type,job_state,exp_level,exp_years,job_category,skills,posted
67,Fixed/Mobile Guard,Constellis,Not mentioned,Kuwait City,Kuwait ,Full Time,Not Mentioned,Entry Level,,IT/Software Development,computer science software development software engineering rest testing development,23 days ago
68,Regional Sales Manager - Middle East - Cyber Security,CloudSEK,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Experienced,,Operations/Management,Sales Skills Sales Target Customer Service Customer Support Customer Care Management,29 days ago
69,"Tech Lead, UAE",ION,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,,Legal,Computer Science Software Development javaScript Agile Engineering PHP,14 days ago
70,"Asset & Wealth Management, Information Security Manager, Doha, Associate",Jobs via eFinancialCareers,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Experienced,,IT/Software Development,Accounting Financial Analysis Financial Management Assets Information Technology (IT) Commerce,20 days ago
71,Technical Success Manager,Stats Perform,Not mentioned,Doha,Qatar ,Full Time,Not Mentioned,Experienced,,IT/Software Development,Civil Engineering Information Technology (IT) Technical Office Computer Science Project Management AutoCAD,23 days ago
72,"AI/ML Sales Specialist, MENAT AGS Specialist Team",Amazon Web Services (AWS),Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Not specified,,Engineering - Telecom/Technology,ai expertise customers aws,28 days ago
73,AI Engineer,Arab AI,Ras Albar,Damietta,Egypt ,Full Time,Hybrid,Experienced,5 - 7 Yrs of Exp,IT/Software Development,Information Technology (IT) Engineering Computer Science,9 days ago
74,Senior AI Engineer,Lumin,Sheikh Zayed,Giza,Egypt ,Full Time,Hybrid,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Computer Vision Machine Learning TensorFlow Python Computer Science Programming PyTorch,1 hour ago
75,AI Data Science and Machine Learning Instructor,CLS Learning Solutions,Dokki,Giza,Egypt ,Full Time,Hybrid,Experienced,3 - 15 Yrs of Exp,Training/Instructor,Deep Learning Data Science Python Natural Language Processing Neural Networks Training Teaching,10 days ago
76,AI Engineer,Paxerahealth Corp,Not mentioned,Cairo,Egypt ,Full Time,Hybrid,Experienced,3 - 5 Yrs of Exp,IT/Software Development,AI Computer Science Information Technology (IT) Machine Learning Programming Frameworks Artificial Intelligence,23 days ago
